+	tasɯ
あなたのもとへ飛んでいっただろうに	anata no moto e tonde ittadaroːn i
あなたのような若い人たちが	anata no ɪoːnavakai hito tatɕi ga
あなたのメールアドレスを伺いました	anata no meːruadoresu o ukagaimaɕita
あなたの先生でしたか	anata no senseːdeɕita ka
あなたの名前を書きなさい	anata no namae o kaki nasai
あなたの容姿は女神の様に美しく	anata no ɪoːɕiva megami no ɪoː ni utsukuɕiku
あなたの寄附は	anata no kihuva
あなたの手紙を開けてしまってすみません	anata no tegami o akete ɕimatte sumimasen
あなたの本	aitanohoɴ
あなたの本	aotanohoɴ
あなたの自由だ	anata no dʑiɪuːda
あなたの足	anata noaɕi
あなたの通信事務の仕事をしてくれることになります	anata no tsuːɕin dʑimu no ɕigoto o ɕite kureru koto ni narimasu
あなたは	anatava
あなたは	anat̪a va
あなたはあなたに自身がそこへ行かなければならない	anatava anata ni dʑiɕin ga soko e ikanakereba naranai
あなたはそっちの世界には向いていない	anatava sotɕtɕi no sekainiva muiteinai
あなたはそのスイッチに触らなければならない	anatava sono suitɕtɕi ni savaranakereba naranai
あなたはノックをすべきでした	anatava nokku o subekideɕita
あなたは女性です	anatava dʑooseidesɯ
あなたは学生ですね	anatava gakɯseidesɯne
あなたは柔軟ですね	anata va dʑɯɯnaɴdesɯne
あなたは正直すぎる	anata haɕoɯdʑiki sɯgiɾɯ
あなたは永遠に若いのだ	anatava eiennivakai noda
あなたは満足するでしょう	anatava manzoku surudeɕoː
あなたは見たことがありますか	anatava mita koto ga arimasu ka
あなたは馬鹿です	mãnata vabaka desɯ
あなたも来るの？	anata mkɯɾɯno
あなたも行きますか？	aotamikimasɯka
あなたらしくない	anataɾaɕiɯnaik
あなたをずっと愛します	anata ozɯkːtoaiɕimasɯ
あなたを彼に紹介しよう	anata o kare ni ɕoːkai ɕiɪoː
あなた任せ	anatamakase
あなた方	anatagata
あなた方は気候がとても暑いのではないかと	anatagatava kikoː ga totemo atsui nodevanai ka to
あなた本人が来てください	anata honnin ga kite kudasai
あなた次第	eonata ɕidai
あなた達	anatatɕi
あなや	anaja
あにき	aniki
あに図らんや	anihakaɾaɴja
あねさん被り	anesaɴkabɯɾi
あの	ano
あの	ˈano
あのう	ano
あのう	anoɯ
あのう	ˈano
あのう	ˈanoɯ
あのかた	aɾɯnokata
あのさあ	anosaa
あのさあ	anosaː
あのね	anone
あのねえ	anonee
あのひとたち	anoɕtotatɕi
あのような場所で	a no ɪoːna baɕo de
あのように	anojoɯni
あのサインが読めますか	ano sain ga ɪomemasu ka
あのー	ano
あのー	anoː
あの世	anojo
あの世に行く	anojoniikɯ
あの世千日この世一日	anojoseɴnitɕikonojoitɕinitɕi
あの人	anoçito
あの何とかいうもの	anoɴtokaiɯmno
あの噂はガセだ	anoɯɰᵝasaiɾɯgase da
あの声で蜥蜴食らうか時鳥	anokoedetokagekɯɾaɯkahototogisɯ
あの女	a no oɴna
あの子	anoko
あの少年	anoɕɯɯneɴ
あの建物はなんですか	ano tatemonova nandesu ka
あの後	a nɔɑtɔ
あの手この手	anotekonote
あの方	anokata
あの方	aɾɯnokata
あの日	ano hii
あの日から	ano hi kaɾa
あの映画を見ればよかったのに	ano eːgao mireba ɪokattanoni
あの本	anohoŋ
あの業者	ano gjoːɕa
あの様	anojoɯ
あの犯罪を	ano hanzai o
あの男を説き伏せようとするのは	ano otoko o tokifuseɪoːt osurunova
あの程度ならまだましだった	ano teːdonara mada maɕidatta
あの頃	anokoro
あの頃	anokoɾo
あはは	ahaha
あははは	jɑhahah
あばた	abat˦a
あばよ	a ba jo
あばよ	abajo
あばら家	abaɾaja
あばら屋	abavlaja
あばら屋	abaɾaja
あばら筋	abaɾakiɴ
あばら骨	abaɾabone
あば擦れ	abazɯɾe
あひる	aiɾɯ
あびこ	aˈbiko
あびこ	aːbiko
あびます	abimasɯ
あびる	aβiɾɯ
あふれ	ʔfule
あふれんばかりの美しい陽射しであった	atshure nbakari no utsukuɕiː hizaɕideatta
あふれ出す	aɸɯɾedasɯ
あふれ検査	aɸɯɾekeɴsa
あふれ表示	aɸɯɾeçjoɯdʑi
あふれ返る	aɸɯɾekaeɾɯ
あぶくま型護衛艦	abɯkɯmagatagoeikaɴ
あぶく銭	abɯkɯzeni
あぶく銭を稼ごうとする開発業者たちよ	abukuzeni o kasegoːt osuru kaihatsu gjoːɕa tatɕi ɪo
あぶく（泡）	abɯ
あぶく（泡）	avukɯ
あぶない	abɯnaik
あぶない	akɯnai
あぶない橋を渡る	abɯnaihaɕioɰᵝataɾɯ
あぶな絵	abɯnae
あぶみ骨	abɯmikotsɯ
あぶら	aburˈa
あぶらえ	abɯɾa e
あぶらそこむつ	abɯɾasokomɯtsɯ
あぶらっこい	apɯrakkoi
あぶらっこい	aβ̞uɾat̪ kˈoi
あぶらとり紙	abɯɾatoɾigami
あぶらとり紙	apɯɾatorigami
あぶら虫	abɯɾamɯɕi
あぶら身	abɯɾami
あぶり出し	abɯɾidaɕi
あぶり出す	abɯɾidasɯ
あぶり料理	abɯɾiɾjoɯɾi
あぶる	abɯ
あぶれる	abɯɾeɾɯ
あへん法	aheɴhoɯ
あへん法	axeɴhoː
あべこべ	a be kɔbe
あべこべ	abekobe
あべし	abeɕi
あべし	abɛs
あべのハルカス	abe novaɾɯkasɯ
あべのハルカス	abe̞nohaɾɯkasɯ
あほ	aho
あほ	ˈaɦo
あほ	ˈaʊ
あほ	ˈeɪhɔ
あほう	aʁu
あほうの一つ覚え	ahoɯnoçitotsɯoboe
あほう鳥	ahoɯdoɾi
あほか	aho̞kæ
あほくさい	aɸɯkɯsa i
あほの一つ覚え	ahonoçitotsɯoboe
あほんだら	ahondara
あほ毛	ahoge
あぼおん	abooɴ
あぼん	aboɴ
あぼーん	aboːɴ
あまい	a mai̯
あまい	amaai
あまい	amaj
あまい	amaːi
あまえます	amaeɾimasɯ
あまえん坊	amaeɴboɯ
あましいら	amaɕiiɾa
あまど	amadʊ
あまに油	amanijɯ
あまね	amane
あまり	amari
あまり	amaːri
あまり	əmaɾi
あまり〜ない	amaɾinaio
あまり〜ません	ama ɾimaseɴ
あまり〜ません	amaɾimaseɴ
あまりありません	amaɾiaɾimaseɴ
あまりとれていない為	amari torete inai tame
あまりと言えば	amaɾitoieba
あまりに	amaɾinie
あまりにも	amaɾinimo
あまりにも	amaɾinmon
あまりにも実力に差がある場合は封印できない	amarini mo dʑitsurjoku ni sa ga aru baːiva fuːin dekinai
あまりスポーツはしません	aɾimaɾisɯpoːtsɯ haɕimaseɴ
あまりスポーツはしません	aɾimaɾisɯpoːtsɯ va ɕimaseɴ
あまり気分がよくないね	amari kibun ga ɪokunai ne
あまり無駄づかいしないように	amari mudazukai ɕinai ɪoː ni
あまり物	amaɾimono
あまり相性がよくないようだ	amari aiɕoː ga ɪokunai ɪoːda
あまり考えていない	amari kangaete inai
あまり脅威として世間に見られておらず	amari kjoːi to ɕite seken ni mi rarete orazu
あまり言いたくはないが	amaɾiiitakɯva naiga
あまり読みやすくなかった	amari ɪomi ɪasukunakatta
あまり長いこと悲しんでいてはいけない	amari nagai koto kanaɕinde iteva ikenai
あま味	amami
あま噛み	amagami
あま噛み	amakami
あみもの	amimono
あみ出す	amidasɯ
あめつち	amtsɯtɕi
あめんぼ	amem bo
あめんぼ	amembo
あめ玉	a me dama
あめ玉	amedama
あめ色	ameiɾo
あめ（雨）	am
あめ（飴）	ame
あめ（飴）	amɛ
あや	aja
あやか	ajaka
あやかし	a jakɐs
あやかし	ajakaɕi
あやかしの類かと	aɪakaɕi no tagu ika to
あやかり者	ajakaɾimono
あやかる	a jakaɾɯ
あやこ	ajako
あやす	aiasɯ
あやす	ajasɯ
あやつ	ajatso
あやとり	ajatɯɾi
あやな	ajana
あやね	ajane
あやの	ajano
あやふや	ajaɸɯja
あやふやな	aja hujana
あやまらないで。	aɪamaɾanaide
あやみ	ajami
あやめ	ajame
あや乃	a jano
あや乃	ajano
あや取り	ajatoɾi
あや織り	ajaoɾi
あゆ	a
あゆ	ajʊ
あゆ	ajˈe
あゆ	au
あゆ	aɪˈu
あゆ	aɪː
あゆ	ˈaɪu
あゆか	ajuka
あゆこ	ajuko
あゆの風	ajɯnokaze
あゆみ	ajumi
あゆむ	ajumu
あら	aɾa
あら	ˈaɾa
あらあらしい	aɾa aɾa si
あらあらしい	aɾaaɾaɕːi
あらいやだ	aɾaijada
あらかじめ	arakadʑime
あらかたの実験道具は調ってきた	arakata no dʑikken doːguva totonotte kita
あらげ木耳	aɾagekikɯɾage
あらし	aɾaɕi
あらすじ	aɾasɯdʑi
あらすじ	aɾaʃtʃɛʑi
あらせいとう	aɾaseitoɯ
あらそう	aɾasoɯ
あらた	aɾada
あらたな	aɾetana
あらたふと	aɾatout
あらためて	aɾatamete
あらぬ事	aɾanɯkoto
あらぶる	aɾabɯɾɯ
あらへん	aɾaheɴ
あらまあ	aɾamaa
あらまし	aɾamaɕi
あらやだ	aɾajada
あらゆる	aɾa jɯɾɯ
あらゆる	aɾajɯɾɯ
あらゆる人種で起こる	aɾajɯɾɯdʑiɴsiɯdeokoɾɯ
あらゆる全てを喰い散らかすべき獲物としか見る事が出来なくなる	araɪuru subete o kui tɕirakasubeki emono to ɕika miru koto ga dekinaku naru
あらゆる問題	aɾajɯɾɯmoɴdai
あらゆる喜びよりも	araɪuru ɪorokobi ɪori mo
あらゆる手	aɾaiɾɯte
あらゆる植物は	araɪuru ɕokubutsuva
あらゆる武術のノウハウと	araɪuru budʑutsu no nouha uto
あらゆる毒を	araɪuru doku o
あらゆる物事に対し	araɪuru monogoto ni taiɕi
あらゆる生命は死に絶えるとされている	araɪuru seːmeːv aɕinitaeru to sa rete iru
あらゆる社会の歴史は	araɪuru ɕakai no rekiɕiva
あらゆる血統の美術的崇拝の対象となっている	araɪuru kettoː no bidʑutsu teki suːhai no taiɕoː to natte iru
あらゆる辞書を調べた	araɪuru dʑiɕo o ɕirabeta
あられもない	aɾaɾemonai
あられもない	laɾaɾemõːnai
あられもない姿	aɾa ɾemnaisɯgata
あられ餅	aɾaɾemotɕi
あらわにした	aɾajoɯniɕita
あらんかぎり	aɾaɴkagɯɾi
あらん限り	aɾaɴkagiɾi
あらん限りの猛威を振るった	arankagiri no moːi o furutta
あら塩	aɾadʑio
あら塩	aɾaɕio
あら挽き	aɾabiki
あら捜し	aɾasagatɕi
あら捜し	aɾasagaɕi
あら探し	aɾasagaɕi
あら汁	aɾadʑiɾɯ
あら熱	aɾanetsɯ
あら熱を取る	aɾanetsɯotoɾɯ
あら皮	aɾakaɰᵝa
ありあり	aɾiaɾi
ありありと	aɾiaɾito
ありえない	ali enai
ありえんてぃー	aɾieɴteiː
ありがたい	aɾinatai
ありがたい	aɾiᵝgatai
ありがたう	aɾigatoː
ありがたさ	aɾigataɕa
ありがたみに欠ける	aɾigatami nkakeɾɯ
ありがた味	aɾigatami
ありがた涙	aɾigatanamida
ありがた迷惑	aɾigatameiɰᵝakɯ
ありがちだ	aɾigatɕi da
ありがちだ	aɾinatɕi da
ありがと	aɾigato
ありがとう	aɾigato
ありがとう	aɾigatoo
ありがとう	aɾigatoː
ありがとう	aɾiigato
ありがとう	aɾiotoɯ
ありがとう	aɾiɣaatˌoˌ
ありがとう	aɾiɣatoɯ
ありがとう	aɾiɴatoɯ
ありがとう	ɾigatoɯ
ありがとうございました	arigatoːgozaimaɕita
ありがとうございました	aɾiatoɯgozaimaɕita
ありがとうございました	aɾigatoːgozaimaɕita
ありがとうございました	aɾigatoːgozaimaɕitaː
ありがとうございます	aɾigatoːgozaimasɯ
ありがとうございます	aɾigatoːgozoimasɯ
ありがとうございます	aɾiŋatoɯgozaimasɯ
ありがとうさん	aɾigatoɯsaɴ
ありがとうさん	aɾigatoːsaɴ
ありがとさん	aɾigatosaɴ
ありき	aɾiki
ありき	aɾitʃi
ありきたりな	aɾɯkitaɾina
ありくい	aɾakɯi
ありさ	aɾisˈa
ありし日	aɾiɕiçi
ありそう	aɾisɯ
ありた	aɾitːa
ありなが	arinaga
ありなさい	aɾinasai
ありのままを言う	aɾinomamaoɕiɯ
ありはしない	aɾihaɕinai
ありはしない	aɾiva ɕinai
ありひろ	arihiro
ありますか	oɾimasɯka
ありませんか	aɾimaseɴka
ありゃ	aɾa
ありゃしない	aɾaɕinai
ありゃしない	aɾjaɕinai
ありんす	aɾiɴsɯ
ありんすことば	aɾiɴsɯkotoba
あり付く	aɾitsɯkɯ
あり切れ	aɾigiɾe
あり合せ	aɾiaɰᵝase
あり合わせ	aɾiaɰᵝase
あり合わせ	oɾiaɰᵝase
あり合わせる	aɾiaɰᵝaseɾɯ
あり地獄	aɾidʑigokɯ
あり得	aɾiɯ
あり得ない	aɾienai
あり得ない	paɾienai
あり得ないほど	aɾienaihodo
あり得ない程	aɾienaihodo
あり得べからざる	aɾiɯbekaɾazaɾɯ
あり得べき	aɾiɯbeki
あり得る	aɾieɾɯ
あり得る	aɾiɯɾɯ
あり方	aɾikata
あり方	oɾihoɯ
あり次第	aɾiɕidai
あり触れた	aɾiɸɯɾeta
あり触れる	aɾifɯɾeɾɯ
あり金	aɾigane
ある	a
ある	maɾɯ
ある　あります	aɾɯaɾimasɯ
あるある	aɾɯaɾɯ
あるある	ːaɾɯaɾɯ
あるある探検隊	aɾɯaɾɯtaɴkeɴta i
あるいて	aɾoite
あるいていた	aɾɯiteita
あるいは	aruiva
あるいは	aɾɯiwa
あるいはパワーストーンとして珍重される	aruiva pavaːsutoːn to ɕite tɕintɕoː sa reru
あるいは下痢便からの	aruiva geri ben kara no
あるいは未発達であるがゆえにバランスが現実的ではなくなってしまったものなどは	aruiva mi hattatsudearuga ɪue ni baransu ga gendʑitsu tekidevanaku natte ɕimatta mono nadova
あるいは汚れた灰黄褐色を呈する場合が多く	aruiva ɪogoreta hai kikaɕɕoku o teːsuru baːi ga oːku
あるいは直に畳に横たわれるので	aruiva dʑikani tatam ini ɪokotavarerunode
あるいは稚拙な作品も交じる	aruiva tɕisetsuna sakuhin mo madʑiru
あるいは脅すような口調で迫ったりした	aruiva odosu ɪoːna kutɕoː de semattari ɕita
あるかないか	aɾɯka nai̯ka
あるがまま	aɾɯnamama
あるきます	alkimasɯ
あることないこと	aɾɯkotonaikot
あること無いこと	aɾɯkotonaikoto
あるとき払い	aɾɯtokibaɾai
あるところに	aɾɯtokon
あるに	aɾɯni
あるに任せる	aɾɯnimakaseɾɯ
あるに従う	aɾɯniɕitagaɯ
あるに違いない	aɾɯnitɕigainai
あるに違い無い	aɾɯnitɕigainai
あるのではない	aru nodevanai
あるべき姿	aɾɯbeki sɯgata
あるまい	aɾɯmaj
あるらしい	aɾɯkɯɾaɕii
あるらしい	aɾɯɾaɕii
ある事ない事	aɾɯkotonaikoto
ある事ない事言い触らす	aɾɯkotonaikotoiifɯɾasɯ
ある人	aɾɯçito
ある人たち	aɾɯçiɴ tatɕi
ある共通のテーマがある	aru kjoːtsuː no teːma ga aru
ある商家に	aru ɕoːka ni
ある夜	aɾɯjoɾɯ
ある夜一般人への暴行事件を起こし	aru ɪoru ippandʑi ne no boːkoː dʑiken o okoɕi
ある小さな島に	aru tɕiːsana ɕima ni
ある島を舞台に展開する	aru ɕima o butai ni tenkai suru
ある意味	aɾɯimi
ある意味で	aɾɯimide
ある意味では	aɾɯimideha
ある意味では	aɾɯimideva
ある方法で	aru hoːhoː de
ある日	aɾɯçi
ある日	aɾɯçːi
ある時	aɾɯdoki
ある時	aɾɯtoki
ある時払い	aɾɯtokibaɾai
ある朝	aɾɯ
ある池のほとりでロバが急停止し	aru ike no hotori de roba ga kjuː teːɕiɕi
ある物をあきらめて	aru mono o akiramete
ある特性を	aru tokuseː o
ある程度	aɾɯteido
ある程度	aɾɯteiido
ある程度	aɾɯteːdo
ある程度の愛情は持たれている	aruteːdo no aidʑoːva mota rete iru
ある程度の自治制度の導入がある	aruteːdo no dʑitɕi seːdo no doːɲuː ga aru
ある程度の貯金金額を知る事ができる	aruteːdo no tɕokin kingaku o ɕiru koto ga dekiru
ある程度は	aɾɯteːdova
ある程度まで	aɾɯteidomade
ある程度まで	aɾɯteːdo made
ある程度起こる	aɾɯteːdookoɾɯ
ある種	aɾɯsɯ
ある種	aɾɯɕɯ
ある種の	aɾɯɕi no
ある種のウイルスと関係があるかもしれない	aruɕuno uirusu to kankeː ga aru kamo ɕirenai
ある者	aɾɯmno
ある過去	aɾɯkakoɯ
ある限り	aɾɯkagiɾi
あれ	a
あれあれ	are are
あれあれ	aɾeaɾe
あれい	are
あれえ	aɾ˧
あれから	aɾeikara
あれから	aɾekaɾa
あれが今生の別れになるとは夢にも思わなかった	are ga kondʑoːnovakar eni narutova ɪumenimo omovanakatta
あれこれ	areːkoɾe
あれこれとぐらついた	arekore to guratsuita
あれこれとよみがえった	arekore to ɪomigaetta
あれじゃなかった	aɾe dʑanakatːa
あれだけ	aɾedake
あれっきり	aɾekːiɾi
あれで	aɾede
あれでも	aɾedemo
あれど	aɾɛdo
あれはいくらですか	aɾehaikɯɾa desɯka
あれはなんですか	areva naɴdesɯka
あれはなんですか	aɾeva naɴdesɯka
あれはりんごです	areva ɾiɴgo desɯ
あれはわたしのペンです	aɾeva vataɕi nopeɴdesɯ
あれはカメラです。	areva kameɾadesɯ
あれはテレビです	areva teɾebi desɯ
あれはテロでした。	aɾeva teɾdeɕita
あれは何ですか	aɾehanandesɯka
あれは何ですか	aɾehanaɴdesɯka
あれは何ですか。	aɾehanandesɯka
あれは学校の寮ではありません。	arevagakːoɯnoɾjoɯdeva aɾimaseɴ
あれは寺だ。	aɾeva teɾa da
あれは蛇ですよ。	aɾeva hebi desɯjo
あれは銃声のようだ	areva dʑɯɯseinojoɯda
あれは電車です。	areva deɴɕa desɯ
あれは鞄です	aɾe hkabaɴdesɯ
あれは鳥だ。	aɾeva toɾida
あれは鳥ではない	ɰᵝaɾeva toɾideva nai
あれへん	aɾeheɴ
あれほど悲しそうな顔をする奴が	are hodo kanaɕi soːna kao o suru ɪatsu ga
あれまあ	aɾemaa
あれやこれや	aɾe ja koɾe ja
あれよあれよ	aɾejoaɾejo
あれよあれよ	aɾɛjo aɾeʲːo
あれよあれよという内に	aɾejoaɾejotoiɯɯtɕini
あれよあれよという間に	aɾejo aɾejo toiɯɯmani
あれよあれよという間に	aɾejoaɾejotoiɯmani
あれよあれよと見る間に	aɾejoaɾejotomiɾɯmani
あれよあれよと言う間に	aɾejoaɾejotoiɯmani
あれよりはるかに勝っている	are ɪori haruka ni masat teiru
あれら	aleɾa
あれ以来	aɾeiɾai
あれ以来	aɾe̞ iɾai
あれ位	aɾekɯɾai
あれ性	aɾeɕoɯ
あれ程	aɾehodo
あれ肌	aɾehada
あれ？	ale
あれ？	are
あれ？	arɛ
あろうことか	aɾoɯ kotoka
あろうとなかろう	aɾoɯtonakaɾoɯ
あわ	aɫ˥˥
あわせます	avsema sɯ
あわせ鏡	aɰᵝasekagami
あわてる	awateɾɯ
あわてる	aɰᵝat̪erʊ
あわてん坊	aɰᵝateɴboɯ
あわて者	avate
あわや	amaja
あわや	aɰᵝaja
あわや頭部直撃の危険球を投げたことで	avaɪa toːbu tɕokugeki no kiken kjuː o nageta koto de
あわよくば	ava jokɯba
あわよくば	aɰᵝajokɯba
あわら市	aɰᵝaɾaɕi
あわ立つ	aɰᵝadatsɯ
あんかけ焼きそば	aɴɕkakejaki soba
あんがと	aɴgato
あんがと	aɴgatoo
あんがど	aɴgado
あんぐり	aɴgɯɾi
あんこ	aɴko
あんこ型	aɴkogata
あんこ形	aɴkogata
あんこ玉	aɴhodama
あんさん	aɴsaɴ
あんじょう	aɴdʑoɯ
あんす	aɴsɯ
あんず	anzu
あんぜんな	anzenna
あんた	antˈa
あんた	antːa
あんた	aɴtˈa
あんたたち	antatɕi
あんたの半生で	anta no hanseː de
あんだ	aɴda
あんだぎー	aɴdagiː
あんだけ	aɴdake
あんだよ	ɦɛndajo
あんだんすー	aɴdaɴsɯː
あんだーぎー	aɴdaːgiː
あんちょこ	aɴtɕoko
あんな	aɴna
あんなあ	aɴnaa
あんないします	aɴnaiɕimasɯ
あんないじょ	anaidʑo
あんないする	aɴnaisɯɾɯ
あんなに	annaɲi
あんなに	aɴnani
あんなに	aɴnaɴ
あんなー	aɴnaː
あんな人	aɴnaçito
あんな風に	aɴnaɸɯɯni
あんね	anːe
あんね	aɴne
あんねん	annɛːŋ
あんばい	anbai̯
あんべし	aɴbeɕi
あんぽ柿	aɴpogaki
あんま	ama
あんま	aɴma
あんまし	aɴmaɕi
あんまり	ænmaɾi
あんまん	amman
あんま機	aɴmaki
あんよ	aɪo
あんよ	aɴjo
あんドーナツ	aɴdoɯnatsɯ
あん分	aɴbɯɴ
あん摩	amma
あん摩	aɴma
あん摩マッサージ指圧師	aɴmamasːaːdʑiɕiatsɯɕi
あん肝	aɴkimo
あん馬	amba
あん馬	aɴba
あー	a
あー	ɑː
あーあ	aː
あーあ	aːa
あーた	aːta
あーね	ane
あーん	aːn
あーん	aːɴ
あ段	adaɴ
あ然	azeɴ
あ行	aɲo
あ～！	ˈa
い	i
い	iˈ
い	iˈɛ
い	i˥˩
いい	ii
いい	iː˩˦
いい	i˥˩
いいあい	iaiː
いいえ	eie
いいえ	ieː
いいえ	iˌeɪ̯
いいえ	iːe
いいえ、かまいませんよ。	iikamaimaseɴjo
いいえ、どこへも行きませんでした	iedkoemikimaseɴdeɕita
いいえ、大丈夫です	iiedaidʑoɯbɯdesɯ
いいえ、書きませんでした	iikakimaseɴdeɕita
いいえを言う	i˥˥e˥˩ a˥˧ɕjɯʊ˨˩˦
いいえ大丈夫です	iiedaidʑoɯbɯdesɯ
いいお天気です。	iionteɴkidesɯ
いいお天気ですね	iiteɴkidesɯne
いいお天気に	iijo teɴkini
いいか	iika
いいか	ika
いいかい	iikai
いいかい	ikai
いいかげんにして。	okageɴniɕite
いいかげんにしなさい	ɯikageɴniɕinasai
いいかげんに返事をする	iikageɴniheɴdʑi osɯɾɯ
いいかっこしい	iikakːoɕii
いいから	iikaɾa
いいからいいから	iikaɾaiikaɾa
